kingdom_number,total_kvks,prep_wins,prep_losses,prep_win_rate,prep_win_streak,battle_wins,battle_losses,battle_win_rate,battle_win_streak,dominations,defeats,most_recent_status,overall_score
1,9,7,2,0.778,6,3,6,0.333,3,3,2,Unannounced,5.44
2,9,2,7,0.222,5,4,5,0.444,2,1,4,Unannounced,2.73
3,9,7,2,0.778,6,9,0,1.0,9,7,0,Unannounced,11.07
4,9,6,3,0.667,4,3,6,0.333,2,3,3,Unannounced,3.44
5,9,3,6,0.333,5,3,6,0.333,3,2,5,Unannounced,2.04
6,9,4,5,0.444,2,4,5,0.444,3,2,3,Unannounced,2.46
7,9,3,6,0.333,2,4,5,0.444,3,2,4,Unannounced,2.86
8,9,2,7,0.222,3,4,5,0.444,2,2,5,Unannounced,1.38
9,8,2,6,0.25,4,4,4,0.5,3,1,3,Unannounced,4.65
10,9,1,8,0.111,6,5,4,0.556,3,1,4,Unannounced,1.51
11,9,4,5,0.444,3,4,5,0.444,3,3,4,Unannounced,4.5
12,9,9,0,1.0,9,6,3,0.667,4,6,0,Unannounced,9.4
13,9,4,5,0.444,3,5,4,0.556,2,3,3,Unannounced,5.14
14,8,3,5,0.375,3,5,3,0.625,2,3,3,Unannounced,4.52
15,8,2,6,0.25,4,4,4,0.5,2,1,3,Unannounced,3.76
16,8,3,5,0.375,3,3,5,0.375,3,2,4,Unannounced,1.71
17,8,3,5,0.375,4,5,3,0.625,2,2,2,Unannounced,4.89
18,8,0,8,0.0,8,5,3,0.625,2,0,3,Unannounced,3.45
19,8,5,3,0.625,3,4,4,0.5,4,3,2,Unannounced,5.09
20,8,5,3,0.625,3,3,5,0.375,2,2,2,Unannounced,3.59
21,7,4,3,0.571,2,3,4,0.429,3,2,2,Unannounced,4.16
22,8,4,4,0.5,2,5,3,0.625,2,3,2,Unannounced,6.38
23,8,4,4,0.5,3,3,5,0.375,3,1,2,Unannounced,2.79
24,8,5,3,0.625,3,5,3,0.625,3,3,1,Unannounced,5.35
25,8,2,6,0.25,4,3,5,0.375,2,0,3,Unannounced,1.4
26,4,1,3,0.25,2,1,3,0.25,2,1,3,Unannounced,0.15
27,8,3,5,0.375,4,2,6,0.25,3,1,4,Unannounced,1.34
28,8,2,6,0.25,3,4,4,0.5,2,1,3,Unannounced,2.87
29,8,5,3,0.625,5,2,6,0.25,4,1,2,Unannounced,3.56
30,8,5,3,0.625,3,5,3,0.625,4,3,1,Unannounced,6.57
31,7,2,5,0.286,2,2,5,0.286,2,2,5,Unannounced,1.14
32,8,5,3,0.625,3,4,4,0.5,2,3,2,Unannounced,4.43
33,8,6,2,0.75,6,4,4,0.5,2,4,2,Unannounced,7.03
34,8,4,4,0.5,2,4,4,0.5,2,3,3,Unannounced,4.98
35,8,1,7,0.125,7,3,5,0.375,3,1,5,Unannounced,-0.4
36,8,4,4,0.5,2,6,2,0.75,3,4,2,Unannounced,7.65
37,8,4,4,0.5,2,4,4,0.5,2,1,1,Unannounced,4.51
38,8,1,7,0.125,4,4,4,0.5,2,0,3,Unannounced,2.5
39,8,8,0,1.0,8,4,4,0.5,3,4,0,Unannounced,7.39
40,8,4,4,0.5,2,4,4,0.5,2,2,2,Unannounced,4.57
41,8,2,6,0.25,3,3,5,0.375,2,1,4,Unannounced,1.31
42,8,6,2,0.75,2,4,4,0.5,3,3,1,Unannounced,4.88
43,8,5,3,0.625,3,5,3,0.625,4,3,1,Unannounced,6.8
44,8,3,5,0.375,3,5,3,0.625,3,3,3,Unannounced,2.75
45,8,5,3,0.625,4,7,1,0.875,5,4,0,Unannounced,8.58
46,8,3,5,0.375,3,6,2,0.75,5,3,2,Unannounced,6.9
47,8,4,4,0.5,4,4,4,0.5,2,3,3,Unannounced,5.98
48,8,3,5,0.375,5,3,5,0.375,2,1,3,Unannounced,3.82
49,8,3,5,0.375,4,4,4,0.5,3,3,4,Unannounced,2.54
50,8,1,7,0.125,5,3,5,0.375,2,1,5,Unannounced,0.27
51,8,1,7,0.125,7,3,5,0.375,3,1,5,Unannounced,0.6
52,8,2,6,0.25,4,3,5,0.375,3,2,5,Unannounced,1.06
53,8,4,4,0.5,4,4,4,0.5,3,2,2,Unannounced,5.68
54,8,6,2,0.75,5,4,4,0.5,3,3,1,Unannounced,6.21
55,8,5,3,0.625,2,3,5,0.375,2,3,3,Unannounced,3.78
56,8,4,4,0.5,4,4,4,0.5,2,2,2,Unannounced,5.24
57,8,4,4,0.5,4,5,3,0.625,2,3,2,Unannounced,5.38
58,8,4,4,0.5,3,4,4,0.5,4,2,2,Unannounced,2.91
59,8,4,4,0.5,3,4,4,0.5,4,2,2,Unannounced,4.57
60,8,6,2,0.75,4,4,4,0.5,3,3,1,Unannounced,6.66
61,8,8,0,1.0,8,6,2,0.75,6,6,0,Unannounced,9.95
62,8,6,2,0.75,3,4,4,0.5,3,3,1,Unannounced,6.21
63,7,4,3,0.571,2,3,4,0.429,2,3,3,Unannounced,4.69
64,8,4,4,0.5,3,5,3,0.625,2,3,2,Unannounced,6.38
65,8,1,7,0.125,6,3,5,0.375,2,1,5,Unannounced,1.27
66,8,6,2,0.75,6,6,2,0.75,5,5,1,Unannounced,6.59
67,8,4,4,0.5,2,5,3,0.625,2,4,3,Unannounced,5.05
68,8,5,3,0.625,3,4,4,0.5,2,4,3,Unannounced,6.54
69,8,3,5,0.375,5,6,2,0.75,3,3,2,Unannounced,7.57
70,8,1,7,0.125,7,2,6,0.25,3,0,5,Unannounced,-0.01
71,8,1,7,0.125,4,3,5,0.375,3,1,5,Unannounced,0.6
72,8,2,6,0.25,6,2,6,0.25,5,1,5,Unannounced,1.59
73,7,3,4,0.429,3,4,3,0.571,3,3,3,Unannounced,6.33
74,8,3,5,0.375,3,3,5,0.375,3,3,5,Unannounced,0.4
75,8,4,4,0.5,2,7,1,0.875,4,4,1,Unannounced,9.11
76,8,4,4,0.5,2,3,5,0.375,3,2,3,Unannounced,1.81
77,8,4,4,0.5,3,5,3,0.625,2,2,1,Unannounced,6.27
78,8,6,2,0.75,6,2,6,0.25,4,2,2,Unannounced,4.52
79,8,3,5,0.375,3,4,4,0.5,2,2,3,Unannounced,5.05
80,8,5,3,0.625,2,5,3,0.625,2,2,0,Unannounced,6.63
81,8,4,4,0.5,3,3,5,0.375,3,2,3,Unannounced,1.48
82,8,6,2,0.75,3,5,3,0.625,2,5,2,Unannounced,6.58
83,8,4,4,0.5,2,2,6,0.25,3,1,3,Unannounced,2.11
84,8,5,3,0.625,3,4,4,0.5,3,3,2,Unannounced,6.43
85,8,5,3,0.625,3,6,2,0.75,3,5,2,Unannounced,7.47
86,8,7,1,0.875,5,7,1,0.875,5,7,1,Unannounced,10.49
87,8,4,4,0.5,2,4,4,0.5,2,3,3,Unannounced,4.43
88,8,6,2,0.75,5,6,2,0.75,3,4,0,Unannounced,8.9
89,8,5,3,0.625,3,3,5,0.375,3,2,2,Unannounced,4.7
90,7,6,1,0.857,6,5,2,0.714,5,5,1,Unannounced,7.44
91,7,0,7,0.0,7,3,4,0.429,3,0,4,Unannounced,1.73
92,7,5,2,0.714,4,5,2,0.714,4,5,2,Unannounced,6.89
93,7,4,3,0.571,2,3,4,0.429,3,2,2,Unannounced,5.16
94,7,3,4,0.429,4,2,5,0.286,2,1,3,Unannounced,0.65
95,7,1,6,0.143,6,3,4,0.429,3,1,4,Unannounced,-0.08
96,7,3,4,0.429,2,2,5,0.286,3,1,3,Unannounced,1.09
97,7,5,2,0.714,4,4,3,0.571,2,4,2,Unannounced,7.48
98,7,4,3,0.571,3,5,2,0.714,3,3,1,Unannounced,7.78
99,7,5,2,0.714,4,3,4,0.429,3,3,2,Unannounced,6.45
100,7,1,6,0.143,5,3,4,0.429,2,1,4,Unannounced,1.59
101,7,4,3,0.571,4,5,2,0.714,4,3,1,Unannounced,5.22
102,7,0,7,0.0,7,2,5,0.286,3,0,5,Unannounced,-0.12
103,7,3,4,0.429,2,3,4,0.429,2,1,2,Unannounced,3.65
104,7,0,7,0.0,7,1,6,0.143,5,0,6,Unannounced,-0.87
105,7,6,1,0.857,3,4,3,0.571,2,4,1,Unannounced,7.58
106,7,2,5,0.286,4,2,5,0.286,5,1,4,Unannounced,0.85
107,7,3,4,0.429,2,2,5,0.286,4,1,3,Unannounced,2.31
108,7,6,1,0.857,5,3,4,0.429,2,3,1,Unannounced,6.11
109,7,4,3,0.571,4,4,3,0.571,3,3,2,Unannounced,2.92
110,7,0,7,0.0,7,2,5,0.286,2,0,5,Unannounced,-0.45
111,7,5,2,0.714,3,3,4,0.429,3,2,1,Unannounced,5.43
112,7,1,6,0.143,5,4,3,0.571,2,1,3,Unannounced,1.85
113,7,5,2,0.714,2,3,4,0.429,2,3,2,Unannounced,4.89
114,7,3,4,0.429,3,2,5,0.286,5,1,3,Unannounced,3.2
115,7,5,2,0.714,3,3,4,0.429,2,3,2,Unannounced,4.89
116,7,4,3,0.571,2,6,1,0.857,5,3,0,Unannounced,8.59
117,7,1,6,0.143,5,3,4,0.429,4,1,4,Unannounced,1.25
118,7,6,1,0.857,4,3,4,0.429,2,2,0,Unannounced,5.69
119,7,4,3,0.571,3,3,4,0.429,2,3,3,Unannounced,2.47
120,7,1,6,0.143,5,1,6,0.143,4,0,5,Unannounced,0.17
121,7,1,6,0.143,4,3,4,0.429,3,1,4,Unannounced,2.37
122,7,1,6,0.143,5,2,5,0.286,3,1,5,Unannounced,0.07
123,7,7,0,1.0,7,5,2,0.714,3,5,0,Unannounced,10.25
124,7,5,2,0.714,3,3,4,0.429,2,2,1,Unannounced,5.21
125,7,6,1,0.857,4,4,3,0.571,2,4,1,Unannounced,7.36
126,7,2,5,0.286,4,3,4,0.429,3,1,3,Unannounced,1.66
127,7,3,4,0.429,3,3,4,0.429,2,2,3,Unannounced,1.79
128,7,3,4,0.429,2,5,2,0.714,4,1,0,Unannounced,5.52
129,7,4,3,0.571,3,4,3,0.571,3,3,2,Unannounced,3.92
130,7,4,3,0.571,3,5,2,0.714,4,3,1,Unannounced,7.56
131,7,4,3,0.571,3,3,4,0.429,2,2,2,Unannounced,4.72
132,7,5,2,0.714,4,3,4,0.429,3,2,1,Unannounced,3.76
133,7,3,4,0.429,3,1,6,0.143,4,0,3,Unannounced,1.41
134,7,5,2,0.714,5,2,5,0.286,3,2,2,Unannounced,4.69
135,7,3,4,0.429,3,4,3,0.571,2,1,1,Unannounced,3.62
136,7,3,4,0.429,2,2,5,0.286,3,1,3,Unannounced,0.65
137,7,3,4,0.429,4,3,4,0.429,3,2,3,Unannounced,1.79
138,7,6,1,0.857,6,4,3,0.571,3,4,1,Unannounced,5.81
139,7,4,3,0.571,1,3,4,0.429,3,2,2,Unannounced,4.61
140,7,5,2,0.714,5,5,2,0.714,3,3,0,Unannounced,7.76
141,7,2,5,0.286,5,2,5,0.286,2,0,3,Unannounced,1.62
142,7,2,5,0.286,5,4,3,0.571,2,2,3,Unannounced,2.25
143,7,5,2,0.714,3,4,3,0.571,4,3,1,Unannounced,6.86
144,7,5,2,0.714,3,4,3,0.571,2,3,1,Unannounced,5.97
145,7,4,3,0.571,2,4,3,0.571,2,3,2,Unannounced,5.59
146,7,6,1,0.857,5,4,3,0.571,3,4,1,Unannounced,8.47
147,7,3,4,0.429,2,3,4,0.429,3,2,3,Unannounced,2.46
148,7,3,4,0.429,3,4,3,0.571,2,2,2,Unannounced,3.35
149,7,4,3,0.571,2,3,4,0.429,2,2,2,Unannounced,5.16
150,7,6,1,0.857,6,4,3,0.571,3,3,0,Unannounced,6.23
151,7,2,5,0.286,4,4,3,0.571,3,1,2,Unannounced,4.89
152,7,3,4,0.429,2,5,2,0.714,3,2,1,Unannounced,5.1
153,7,3,4,0.429,4,4,3,0.571,2,1,1,Unannounced,3.62
154,7,5,2,0.714,4,3,4,0.429,3,3,2,Unannounced,6.45
155,7,5,2,0.714,4,2,5,0.286,3,2,2,Unannounced,4.69
156,7,6,1,0.857,5,5,2,0.714,3,5,1,Unannounced,8.0
157,7,2,5,0.286,3,3,4,0.429,2,0,2,Unannounced,2.07
158,7,3,4,0.429,3,3,4,0.429,4,2,3,Unannounced,2.12
159,7,4,3,0.571,2,5,2,0.714,4,3,1,Unannounced,6.89
160,7,3,4,0.429,2,3,4,0.429,3,1,2,Unannounced,2.76
161,7,3,4,0.429,3,4,3,0.571,3,2,2,Unannounced,6.02
162,7,3,4,0.429,2,7,0,1.0,7,3,0,Unannounced,9.5
163,7,6,1,0.857,3,6,1,0.857,3,6,1,Unannounced,11.05
164,7,1,6,0.143,5,3,4,0.429,3,0,3,Unannounced,0.7
165,7,5,2,0.714,3,5,2,0.714,5,4,1,Unannounced,6.0
166,7,6,1,0.857,4,4,3,0.571,2,3,0,Unannounced,7.12
167,7,4,3,0.571,3,2,5,0.286,2,1,2,Unannounced,3.46
168,7,5,2,0.714,4,3,4,0.429,2,3,2,Unannounced,4.11
169,7,5,2,0.714,3,5,2,0.714,3,5,2,Unannounced,6.89
170,7,2,5,0.286,4,3,4,0.429,2,2,4,Unannounced,1.32
171,7,5,2,0.714,4,4,3,0.571,2,4,2,Unannounced,7.48
172,7,6,1,0.857,4,6,1,0.857,3,5,0,Unannounced,10.26
173,7,3,4,0.429,2,3,4,0.429,3,1,2,Unannounced,2.43
174,7,4,3,0.571,3,3,4,0.429,2,2,2,Unannounced,2.94
175,7,3,4,0.429,3,5,2,0.714,5,2,1,Unannounced,6.32
176,7,1,6,0.143,4,4,3,0.571,2,1,3,Unannounced,3.29
177,7,0,7,0.0,7,3,4,0.429,2,0,4,Unannounced,1.39
178,7,2,5,0.286,4,2,5,0.286,4,2,5,Unannounced,-0.52
179,7,4,3,0.571,3,3,4,0.429,2,3,3,Unannounced,3.58
180,7,5,2,0.714,3,3,4,0.429,2,3,2,Unannounced,4.0
181,7,5,2,0.714,3,2,5,0.286,3,2,2,Unannounced,4.24
182,7,2,5,0.286,2,2,5,0.286,2,2,5,Unannounced,0.59
183,7,5,2,0.714,3,2,5,0.286,4,2,2,Unannounced,3.36
184,7,3,4,0.429,3,4,3,0.571,3,2,2,Unannounced,4.46
185,7,2,5,0.286,5,6,1,0.857,4,2,1,Unannounced,7.25
186,7,5,2,0.714,3,3,4,0.429,3,2,1,Unannounced,4.99
187,7,5,2,0.714,5,3,4,0.429,4,3,2,Unannounced,6.89
188,7,3,4,0.429,3,4,3,0.571,3,2,2,Unannounced,4.02
189,7,1,6,0.143,5,3,4,0.429,3,1,4,Unannounced,2.25
190,7,2,5,0.286,4,3,4,0.429,2,1,3,Unannounced,1.0
191,7,3,4,0.429,3,3,4,0.429,2,1,2,Unannounced,1.43
192,7,1,6,0.143,6,1,6,0.143,4,0,5,Unannounced,-0.83
193,7,4,3,0.571,3,2,5,0.286,3,1,2,Unannounced,4.13
194,7,4,3,0.571,2,5,2,0.714,2,3,1,Unannounced,7.11
195,7,1,6,0.143,4,3,4,0.429,2,0,3,Unannounced,0.7
196,7,6,1,0.857,3,3,4,0.429,3,3,1,Unannounced,6.33
197,7,0,7,0.0,7,4,3,0.571,2,0,3,Unannounced,1.32
198,7,1,6,0.143,5,2,5,0.286,3,1,5,Unannounced,0.74
199,7,6,1,0.857,6,4,3,0.571,2,4,1,Unannounced,7.81
200,7,7,0,1.0,7,4,3,0.571,2,4,0,Unannounced,7.95
201,7,3,4,0.429,2,4,3,0.571,3,2,2,Unannounced,3.35
202,7,6,1,0.857,5,4,3,0.571,3,3,0,Unannounced,6.67
203,7,7,0,1.0,7,5,2,0.714,2,5,0,Unannounced,9.81
204,7,1,6,0.143,6,3,4,0.429,3,1,4,Unannounced,3.14
205,7,2,5,0.286,4,4,3,0.571,3,1,2,Unannounced,4.11
206,6,1,5,0.167,5,1,5,0.167,4,0,4,Unannounced,-0.31
207,6,2,4,0.333,4,2,4,0.333,3,1,3,Unannounced,2.73
208,6,4,2,0.667,2,4,2,0.667,2,4,2,Unannounced,7.17
209,6,1,5,0.167,4,1,5,0.167,4,1,5,Unannounced,-1.5
210,6,5,1,0.833,5,5,1,0.833,3,4,0,Unannounced,8.68
211,6,4,2,0.667,3,2,4,0.333,3,2,2,Unannounced,3.76
212,6,0,6,0.0,6,2,4,0.333,3,0,4,Unannounced,-0.87
213,6,3,3,0.5,2,4,2,0.667,3,2,1,Unannounced,6.7
214,6,4,2,0.667,3,3,3,0.5,2,2,1,Unannounced,4.75
215,6,1,5,0.167,3,3,3,0.5,2,0,2,Unannounced,2.1
216,6,2,4,0.333,2,1,5,0.167,5,1,4,Unannounced,-0.29
217,6,4,2,0.667,3,2,4,0.333,2,2,2,Unannounced,3.87
218,6,3,3,0.5,3,2,4,0.333,2,1,2,Unannounced,1.03
219,6,4,2,0.667,3,5,1,0.833,5,3,0,Unannounced,7.63
220,6,3,3,0.5,2,2,4,0.333,3,2,3,Unannounced,1.73
221,6,4,2,0.667,2,3,3,0.5,2,2,1,Unannounced,5.75
222,6,4,2,0.667,3,4,2,0.667,3,3,1,Unannounced,7.39
223,6,4,2,0.667,3,3,3,0.5,2,2,1,Unannounced,5.75
224,6,0,6,0.0,6,4,2,0.667,3,0,2,Unannounced,4.19
225,6,4,2,0.667,3,4,2,0.667,2,2,0,Unannounced,6.49
226,6,2,4,0.333,3,3,3,0.5,2,2,3,Unannounced,1.48
227,6,2,4,0.333,3,2,4,0.333,3,2,4,Unannounced,-0.17
228,6,4,2,0.667,3,3,3,0.5,2,2,1,Unannounced,4.31
229,6,1,5,0.167,5,2,4,0.333,2,1,4,Unannounced,0.02
230,6,4,2,0.667,4,3,3,0.5,3,3,2,Unannounced,7.02
231,6,6,0,1.0,6,6,0,1.0,6,6,0,Unannounced,12.96
232,6,5,1,0.833,3,3,3,0.5,2,3,1,Unannounced,5.85
233,6,1,5,0.167,5,3,3,0.5,2,0,2,Unannounced,2.43
234,6,6,0,1.0,6,5,1,0.833,4,5,0,Unannounced,11.04
235,6,5,1,0.833,4,3,3,0.5,2,3,1,Unannounced,6.52
236,6,2,4,0.333,2,3,3,0.5,3,1,2,Unannounced,2.89
237,6,1,5,0.167,3,3,3,0.5,3,0,2,Unannounced,2.76
238,6,3,3,0.5,3,2,4,0.333,2,1,2,Unannounced,3.36
239,6,3,3,0.5,2,5,1,0.833,4,3,1,Unannounced,8.29
240,6,5,1,0.833,5,4,2,0.667,4,4,1,Unannounced,8.0
241,6,4,2,0.667,2,0,6,0.0,6,0,2,Unannounced,2.14
242,6,5,1,0.833,3,4,2,0.667,3,3,0,Unannounced,7.25
243,6,4,2,0.667,3,4,2,0.667,3,3,1,Unannounced,5.95
244,6,2,4,0.333,4,3,3,0.5,2,2,3,Unannounced,3.03
245,6,4,2,0.667,2,4,2,0.667,2,4,2,Unannounced,7.17
246,6,5,1,0.833,5,4,2,0.667,2,4,1,Unannounced,8.44
247,6,3,3,0.5,2,3,3,0.5,2,2,2,Unannounced,4.33
248,6,2,4,0.333,3,3,3,0.5,2,1,2,Unannounced,4.45
249,6,3,3,0.5,2,3,3,0.5,2,2,2,Unannounced,3.55
250,6,3,3,0.5,2,3,3,0.5,2,1,1,Unannounced,2.92
251,6,1,5,0.167,5,2,4,0.333,2,0,3,Unannounced,1.83
252,6,2,4,0.333,2,4,2,0.667,2,2,2,Unannounced,4.34
253,6,3,3,0.5,2,3,3,0.5,2,1,1,Unannounced,3.58
254,6,1,5,0.167,3,3,3,0.5,3,0,2,Unannounced,2.43
255,6,2,4,0.333,4,5,1,0.833,4,2,1,Unannounced,5.11
256,6,3,3,0.5,2,2,4,0.333,2,2,3,Unannounced,1.51
257,6,3,3,0.5,2,4,2,0.667,2,1,0,Unannounced,5.87
258,6,0,6,0.0,6,1,5,0.167,3,0,5,Unannounced,-1.06
259,6,5,1,0.833,5,4,2,0.667,3,3,0,Unannounced,7.25
260,6,2,4,0.333,4,4,2,0.667,2,2,2,Unannounced,3.9
261,6,6,0,1.0,6,4,2,0.667,3,4,0,Unannounced,9.54
262,6,1,5,0.167,3,2,4,0.333,3,1,4,Unannounced,1.8
263,6,2,4,0.333,3,2,4,0.333,2,1,3,Unannounced,0.51
264,6,1,5,0.167,3,3,3,0.5,2,1,3,Unannounced,2.78
265,6,5,1,0.833,4,4,2,0.667,3,4,1,Unannounced,8.0
266,6,4,2,0.667,2,2,4,0.333,2,2,2,Unannounced,4.2
267,6,4,2,0.667,3,5,1,0.833,3,3,0,Unannounced,7.85
268,6,3,3,0.5,2,4,2,0.667,2,2,1,Unannounced,5.26
269,6,4,2,0.667,2,2,4,0.333,2,0,0,Unannounced,3.86
270,6,5,1,0.833,3,2,4,0.333,2,2,1,Unannounced,5.03
271,6,6,0,1.0,6,4,2,0.667,4,4,0,Unannounced,9.54
272,6,3,3,0.5,2,3,3,0.5,2,3,3,Unannounced,2.54
273,6,6,0,1.0,6,4,2,0.667,4,4,0,Unannounced,7.98
274,6,4,2,0.667,3,3,3,0.5,2,2,1,Unannounced,5.98
275,6,5,1,0.833,5,4,2,0.667,4,4,1,Unannounced,8.89
276,6,6,0,1.0,6,4,2,0.667,2,4,0,Unannounced,8.65
277,6,5,1,0.833,5,4,2,0.667,2,3,0,Unannounced,7.25
278,6,6,0,1.0,6,3,3,0.5,2,3,0,Unannounced,7.39
279,6,2,4,0.333,4,3,3,0.5,2,2,3,Unannounced,1.81
280,6,0,6,0.0,6,0,6,0.0,6,0,6,Unannounced,-2.38
281,6,3,3,0.5,3,2,4,0.333,3,1,2,Unannounced,1.36
282,6,1,5,0.167,4,3,3,0.5,2,1,3,Unannounced,3.33
283,6,2,4,0.333,3,2,4,0.333,2,1,3,Unannounced,0.84
284,6,2,4,0.333,2,4,2,0.667,3,2,2,Unannounced,3.56
285,6,4,2,0.667,3,4,2,0.667,3,4,2,Unannounced,4.94
286,6,1,5,0.167,3,3,3,0.5,2,1,3,Unannounced,2.45
287,6,3,3,0.5,3,2,4,0.333,2,1,2,Unannounced,2.36
288,6,1,5,0.167,5,3,3,0.5,1,1,3,Unannounced,1.33
289,6,3,3,0.5,2,1,5,0.167,3,1,3,Unannounced,0.94
290,6,2,4,0.333,3,1,5,0.167,5,0,3,Unannounced,1.18
291,6,4,2,0.667,3,2,4,0.333,3,2,2,Unannounced,2.31
292,6,1,5,0.167,5,2,4,0.333,4,1,4,Unannounced,2.58
293,6,5,1,0.833,3,3,3,0.5,2,3,1,Unannounced,6.07
294,6,5,1,0.833,5,5,1,0.833,3,4,0,Unannounced,10.02
295,6,1,5,0.167,4,3,3,0.5,2,1,3,Unannounced,3.33
296,6,3,3,0.5,2,3,3,0.5,2,2,2,Unannounced,5.0
297,6,2,4,0.333,3,4,2,0.667,4,2,2,Unannounced,6.01
298,6,4,2,0.667,3,2,4,0.333,3,2,2,Unannounced,4.65
299,6,3,3,0.5,2,3,3,0.5,1,2,2,Unannounced,5.22
300,6,1,5,0.167,4,2,4,0.333,2,1,4,Unannounced,0.02
301,6,3,3,0.5,2,3,3,0.5,1,1,1,Unannounced,3.69
302,6,4,2,0.667,2,4,2,0.667,3,3,1,Unannounced,7.61
303,6,2,4,0.333,2,4,2,0.667,4,1,1,Unannounced,5.26
304,6,2,4,0.333,2,3,3,0.5,2,1,2,Unannounced,2.78
305,6,1,5,0.167,4,2,4,0.333,4,1,4,Unannounced,2.36
306,6,3,3,0.5,2,3,3,0.5,3,2,2,Unannounced,2.66
307,6,4,2,0.667,4,3,3,0.5,2,3,2,Unannounced,4.8
308,6,4,2,0.667,2,4,2,0.667,3,3,1,Unannounced,6.06
309,6,2,4,0.333,3,3,3,0.5,1,2,3,Unannounced,4.14
310,6,5,1,0.833,3,4,2,0.667,2,4,1,Unannounced,7.78
311,6,3,3,0.5,2,2,4,0.333,3,2,3,Unannounced,3.17
312,6,5,1,0.833,5,3,3,0.5,1,3,1,Unannounced,4.96
313,6,6,0,1.0,6,3,3,0.5,2,3,0,Unannounced,6.72
314,6,1,5,0.167,4,2,4,0.333,2,1,4,Unannounced,0.02
315,6,4,2,0.667,2,3,3,0.5,2,2,1,Unannounced,4.87
316,6,1,5,0.167,4,2,4,0.333,2,1,4,Unannounced,1.02
317,6,2,4,0.333,2,3,3,0.5,2,2,3,Unannounced,2.48
318,6,2,4,0.333,4,3,3,0.5,3,2,3,Unannounced,4.03
319,6,2,4,0.333,2,2,4,0.333,3,1,3,Unannounced,0.84
320,6,0,6,0.0,6,4,2,0.667,2,0,2,Unannounced,3.53
321,6,4,2,0.667,2,6,0,1.0,6,4,0,Unannounced,10.24
322,6,3,3,0.5,2,3,3,0.5,2,2,2,Unannounced,4.55
323,6,3,3,0.5,2,3,3,0.5,2,2,2,Unannounced,4.77
324,6,3,3,0.5,2,4,2,0.667,3,3,2,Unannounced,7.08
325,6,5,1,0.833,4,4,2,0.667,3,3,0,Unannounced,7.92
326,6,2,4,0.333,3,2,4,0.333,2,1,3,Unannounced,2.73
327,6,4,2,0.667,3,2,4,0.333,4,2,2,Unannounced,4.87
328,6,3,3,0.5,3,2,4,0.333,2,2,3,Unannounced,1.51
329,6,5,1,0.833,3,2,4,0.333,3,2,1,Unannounced,4.59
330,6,6,0,1.0,6,3,3,0.5,3,3,0,Unannounced,7.39
331,6,3,3,0.5,2,4,2,0.667,4,2,1,Unannounced,4.03
332,6,2,4,0.333,2,2,4,0.333,2,0,2,Unannounced,1.6
333,6,1,5,0.167,3,2,4,0.333,2,1,4,Unannounced,0.36
334,6,3,3,0.5,1,4,2,0.667,2,3,2,Unannounced,5.86
335,6,3,3,0.5,2,4,2,0.667,2,2,1,Unannounced,4.81
336,6,2,4,0.333,4,2,4,0.333,3,1,3,Unannounced,3.73
337,6,4,2,0.667,4,4,2,0.667,2,2,0,Unannounced,5.82
338,6,3,3,0.5,3,3,3,0.5,2,1,1,Unannounced,4.69
339,6,5,1,0.833,4,5,1,0.833,5,4,0,Unannounced,9.35
340,6,4,2,0.667,4,2,4,0.333,2,2,2,Unannounced,4.87
341,6,0,6,0.0,6,5,1,0.833,5,0,1,Unannounced,4.07
342,6,2,4,0.333,3,3,3,0.5,3,2,3,Unannounced,3.03
343,6,0,6,0.0,6,4,2,0.667,2,0,2,Unannounced,3.53
344,6,1,5,0.167,4,1,5,0.167,4,1,5,Unannounced,0.17
345,6,3,3,0.5,2,3,3,0.5,2,2,2,Unannounced,4.66
346,6,3,3,0.5,2,3,3,0.5,2,3,3,Unannounced,3.66
347,6,5,1,0.833,4,3,3,0.5,3,3,1,Unannounced,5.52
348,6,4,2,0.667,3,3,3,0.5,2,3,2,Unannounced,6.13
349,6,2,4,0.333,3,4,2,0.667,3,2,2,Unannounced,5.79
350,6,5,1,0.833,5,4,2,0.667,3,4,1,Unannounced,6.66
351,6,2,4,0.333,2,4,2,0.667,3,1,1,Unannounced,4.82
352,6,3,3,0.5,3,3,3,0.5,2,1,1,Unannounced,4.25
353,6,1,5,0.167,5,2,4,0.333,2,1,4,Unannounced,0.02
354,6,5,1,0.833,5,4,2,0.667,3,4,1,Unannounced,8.22
355,6,1,5,0.167,3,3,3,0.5,3,1,3,Unannounced,2.0
356,6,6,0,1.0,6,4,2,0.667,3,4,0,Unannounced,8.2
357,6,3,3,0.5,2,2,4,0.333,2,2,3,Unannounced,2.62
358,6,3,3,0.5,2,5,1,0.833,3,2,0,Unannounced,6.94
359,6,6,0,1.0,6,3,3,0.5,3,3,0,Unannounced,7.84
360,6,0,6,0.0,6,3,3,0.5,2,0,3,Unannounced,2.11
361,6,3,3,0.5,2,3,3,0.5,3,2,2,Unannounced,3.66
362,6,2,4,0.333,2,2,4,0.333,4,0,2,Unannounced,2.94
363,6,4,2,0.667,3,3,3,0.5,3,3,2,Unannounced,7.02
364,6,3,3,0.5,3,4,2,0.667,3,3,2,Unannounced,3.86
365,6,5,1,0.833,5,4,2,0.667,2,4,1,Unannounced,8.44
